Ecotype,Fresh weight,ChlA,ChlB,Protein content,NO3-,Amino acid,Glc,Fru,G6P,Suc,starch,Fum,Mal,FK,GK,nINV,aINV,G6PDH,FBP,FUMARASE,iRub,mRub,SPS,UGP,PGM,cPGI,tPGI,pPGI,AGP,NRVs,NRVm
5264,0.363,1.272,0.323,10.749,144.077,24.717,4.636,2.909,211.184,1.364,30.293,10.725,9.605,209.78,408.49,174.71,599.91,746.595,231.995,1981.795,4205.355,5776.885,120.575,7367.42,8984.69,855.57,956.915,101.345,1260.51,246.04,443.53
7482,0.365,1.216,0.315,12.485,129.979,24.091,2.545,2.851,224.826,2.665,49.744,8.636,10.657,161.775,143.595,206.845,531.095,353.625,111.21,1596.465,3807.63,4678.68,266.28,4124.725,8115.66,616.175,955.59,339.415,1225.72,245.33,396.36
6926,0.366,1.211,0.322,11.124,126.893,23.48,4.315,2.233,266.401,2.03,39.032,13.654,8.207,165.49,62.87,158.425,651.845,784.5,206.755,2943.565,3843.455,3589.63,160.52,6637.685,7156.665,497.925,784.71,286.785,1324.875,243.195,400.64
7147,0.368,1.242,0.328,9.98,140.961,19.811,4.059,3.037,206.328,1.208,11.078,18.345,8.951,277.665,402.29,150.02,488.325,521.185,229.485,4946.14,3929.55,3380.265,200.87,7524.305,8142.735,616.465,927.18,310.715,1496.225,210.22,395.54
282,0.368,1.261,0.329,11.103,117.003,23.637,6.427,3.663,244.021,1.331,57.724,16.981,9.344,178.215,176.23,220.8,811.08,708.7,158.105,4040.135,4374.09,6815.7,192.4316284,7104.465,9478.04,662.6,1131.63,469.03,1276.12,249.47,432.085
7035,0.369,1.537,0.352,11.949,151.328,22.543,6.3,3.595,218.152,2.286,60.021,16.563,8.299,149.57,161.79,96.43,513.22,183.04,77.2,4132.37,5246.46,4591.88,129.22,6921.35,6880,695.3,1069.86,374.56,1487.49,286.14,422.36
7158,0.37,1.513,0.375,10.505,123.531,25.071,5.508,2.702,175.461,2.289,62.862,17.854,8.646,263.065,145.74,140.27,441.255,381.93,163.78,2514.755,3441.65,4240.775,192.4316284,5716.27,5413.425,602.46,867.69,265.23,1056.385,202.37,402.135
7405,0.37,1.119,0.27,12.097,111.792,25.851,4.885,2.659,277.383,1.37,63.302,13.936,8.355,177.635,186.85,144.755,693.75,442.845,257.375,3270.87,5029.955,4389.715,220.51,9034.52,9373.545,748.065,1145.12,397.055,1444.78,246.805,404.245
7151,0.372,1.079,0.298,9.843,131.368,18.049,2.302,1.343,173.35,1.831,32.144,10.185,5.662,144.75,159.06,135.75,679.7986801,502.68,311.36,4391.82,5081.97,4873.7,192.4316284,5623.04,7910.98,597.99,945.95,347.96,962.82,260.79,492.87
7071,0.374,1.406,0.361,10.768,117.145,24.298,4.589,4.351,218.147,0.971,34.544,12.757,12.106,224.315,355.64,161.545,477.485,374.68,116.555,2193,3084.135,3245.32,102.2,6752.45,6097.8,481.855,810.265,328.41,1313.865,162.07,316.97
